Employee_ID,Employee_Name,Department,Leave_Type,Total_Days,EL_Balance,CL_Balance,CO_Balance,Overtime_Hours,Productivity_Score,Is_Peak_Season,Month
1015,Priya Gupta,FIN,CL,8.0,20.5,3.33,0.94,9.27,82.07,0,8
1027,Deepa Nair,ENG,EL,9.0,11.5,5.44,0.16,5.6,83.22,1,12
1140,Sanjay Singh,ENG,EL,6.0,28.74,8.71,3.07,8.36,93.65,0,3
1108,Meera Reddy,HR,CO,8.0,14.41,9.73,4.94,3.01,86.88,0,5
1062,Anjali Reddy,FIN,CL,1.0,25.96,5.62,2.07,5.47,76.13,0,9
1005,Priya Singh,HR,EL,5.0,29.99,11.96,2.78,15.38,93.9,1,12
1082,Meera Sharma,SALES,EL,9.0,8.23,11.45,3.03,4.57,88.43,0,1
1031,Anjali Reddy,FIN,CO,8.0,5.55,5.98,2.38,16.63,81.16,0,2
1053,Deepa Reddy,OPS,EL,9.0,19.75,5.76,2.1,15.69,87.79,1,12
1074,Anjali Singh,SALES,CO,6.0,20.43,11.77,3.04,12.73,86.1,0,3
1051,Rohan Gupta,HR,CL,1.0,24.59,4.76,3.11,17.25,93.99,0,9
1131,Anjali Iyer,HR,EL,1.0,11.46,5.51,4.9,9.85,81.58,1,10
1042,Sanjay Sharma,HR,CO,9.0,16.5,7.02,2.0,13.95,78.6,1,11
1131,Anjali Iyer,HR,EL,3.0,26.86,6.18,4.87,12.04,79.48,0,8
1020,Anjali Verma,ENG,CL,6.0,7.22,1.45,2.3,4.13,82.29,0,5
1077,Anjali Gupta,ENG,EL,9.0,7.31,5.77,3.44,10.23,78.14,1,10
1047,Sanjay Reddy,HR,CL,4.0,25.16,8.98,0.92,4.19,82.41,0,1
1013,Meera Reddy,FIN,CO,8.0,23.01,0.75,0.74,2.66,88.74,1,10
1106,Sanjay Patel,HR,EL,2.0,16.19,6.39,1.21,5.38,82.55,1,12
1038,Arjun Sharma,SALES,EL,7.0,7.23,6.42,1.17,6.86,84.48,0,9
1137,Meera Gupta,SALES,EL,2.0,7.17,6.45,2.93,14.91,83.63,0,3
1082,Meera Sharma,SALES,EL,5.0,14.08,7.75,2.85,39.24,81.17,1,10
1149,Deepa Gupta,SALES,CL,6.0,11.15,1.93,0.93,5.7,78.47,0,5
1054,Sanjay Gupta,SALES,CO,3.0,18.11,4.92,4.91,2.24,82.96,0,9
1074,Anjali Singh,SALES,CO,6.0,29.38,5.89,3.61,16.42,89.37,0,4
1135,Priya Sharma,FIN,CO,5.0,9.68,3.88,2.13,10.15,79.85,1,10
1046,Arjun Singh,OPS,CL,6.0,19.53,1.85,2.41,10.65,76.04,0,1
1009,Arjun Reddy,ENG,CO,2.0,13.06,9.72,1.27,13.63,90.2,0,5
1142,Rohan Patel,ENG,CL,7.0,24.86,1.28,4.25,14.92,83.17,0,8
1116,Priya Sharma,FIN,CO,9.0,10.13,4.55,4.63,14.43,75.96,0,8
1092,Sanjay Reddy,FIN,CO,9.0,23.76,9.59,4.13,3.73,79.71,0,8
1077,Anjali Gupta,ENG,CL,4.0,12.9,7.06,3.41,9.04,89.28,1,10
1031,Anjali Reddy,FIN,EL,6.0,18.49,5.26,2.89,7.11,82.83,0,3
1052,Arjun Gupta,ENG,CO,7.0,7.92,11.28,3.14,6.7,77.79,0,8
1014,Meera Gupta,HR,CL,7.0,19.33,11.97,3.76,14.14,90.57,0,1
1032,Arjun Nair,OPS,CL,2.0,24.06,10.52,1.71,16.43,77.21,0,4
1108,Meera Reddy,HR,CO,8.0,8.75,2.75,3.61,14.4,87.82,0,8
1035,Arjun Reddy,FIN,CO,5.0,25.67,11.51,1.71,4.55,83.47,1,10
1089,Rohan Singh,SALES,CL,8.0,17.65,7.34,0.09,48.75,73.19,1,11
1119,Arjun Singh,SALES,CO,1.0,19.41,7.28,2.12,14.73,93.69,0,5
1010,Anjali Iyer,FIN,EL,5.0,29.62,10.07,0.62,18.42,92.4,0,7
1054,Sanjay Gupta,SALES,CO,5.0,14.48,8.93,1.03,15.76,87.07,0,3
1034,Rohan Iyer,ENG,EL,6.0,13.66,4.16,3.69,9.04,79.49,0,4
1107,Priya Singh,SALES,CO,6.0,9.41,5.98,2.09,49.91,62.76,1,11
1113,Deepa Singh,ENG,EL,7.0,29.39,5.51,2.79,17.21,85.7,0,5
1103,Deepa Sharma,FIN,CO,1.0,12.75,4.77,2.13,16.0,81.99,0,1
1028,Priya Nair,OPS,EL,8.0,19.69,3.53,3.57,10.55,85.69,0,1
1112,Sanjay Sharma,OPS,CL,6.0,24.13,1.24,1.67,1.51,90.06,0,2
1009,Arjun Reddy,ENG,CO,2.0,15.22,0.3,0.78,14.32,88.18,1,10
1064,Anjali Nair,HR,CO,3.0,10.78,8.06,0.1,2.08,91.0,0,9
1066,Arjun Gupta,SALES,EL,8.0,7.49,2.92,3.61,17.11,91.6,0,3
1141,Meera Gupta,ENG,CL,7.0,20.83,8.83,4.24,2.46,92.53,0,7
1028,Priya Nair,OPS,CL,2.0,27.77,7.5,1.68,16.5,82.26,1,12
1118,Meera Reddy,HR,EL,5.0,15.24,6.62,2.18,5.89,93.97,1,12
1085,Meera Nair,FIN,EL,8.0,29.63,5.65,0.91,9.7,85.25,1,12
1008,Meera Reddy,OPS,CL,9.0,11.45,1.67,4.17,19.69,85.51,0,8
1108,Meera Reddy,HR,CO,5.0,5.46,10.97,0.59,11.53,80.48,0,2
1016,Meera Sharma,HR,EL,6.0,25.74,2.48,0.05,2.74,93.0,0,5
1133,Meera Iyer,SALES,CL,9.0,17.36,6.88,4.19,36.53,75.11,1,11
1053,Deepa Reddy,OPS,EL,3.0,7.26,9.25,0.34,16.74,83.74,1,11
1112,Sanjay Sharma,OPS,CO,8.0,19.16,5.71,3.32,18.74,89.65,1,11
1032,Arjun Nair,OPS,CO,4.0,9.05,10.1,4.23,19.1,78.09,1,10
1072,Arjun Patel,ENG,EL,1.0,17.39,8.26,2.17,4.93,91.38,0,9
1107,Priya Singh,SALES,CO,6.0,19.76,4.33,0.46,57.35,61.05,1,12
1046,Arjun Singh,OPS,CL,8.0,23.96,7.67,3.8,14.48,87.74,1,12
1024,Vikram Singh,HR,EL,9.0,28.6,0.47,3.53,18.5,78.61,0,2
1085,Meera Nair,FIN,CO,5.0,23.28,2.31,0.58,8.44,90.91,1,10
1115,Meera Iyer,SALES,CO,2.0,18.06,7.73,3.25,7.29,86.21,0,7
1044,Arjun Reddy,SALES,CO,5.0,18.26,5.29,2.02,11.45,91.08,0,2
1003,Sanjay Gupta,HR,EL,2.0,18.0,5.12,4.38,8.35,84.24,0,6
1033,Meera Iyer,ENG,CO,2.0,28.48,9.59,4.99,7.01,90.34,1,11
1061,Anjali Sharma,OPS,EL,8.0,11.79,4.78,0.46,6.73,85.45,0,5
1064,Anjali Nair,HR,CO,8.0,12.18,3.56,1.17,0.84,75.36,0,1
1072,Arjun Patel,ENG,EL,8.0,8.11,11.48,3.99,5.18,86.77,0,1
1038,Arjun Sharma,SALES,CO,8.0,16.69,7.36,0.84,19.82,79.63,0,8
1147,Sanjay Verma,SALES,EL,3.0,17.82,2.77,0.88,4.41,78.73,0,6
1002,Vikram Gupta,ENG,CL,5.0,6.45,11.63,4.42,18.56,94.9,0,8
1060,Deepa Verma,OPS,CL,3.0,23.96,8.35,0.77,16.32,79.49,1,11
1119,Arjun Singh,SALES,EL,4.0,19.5,1.1,4.39,5.31,77.59,0,9
1136,Rohan Iyer,OPS,EL,2.0,26.55,9.71,3.28,11.02,76.74,0,3
1123,Sanjay Verma,OPS,CO,5.0,6.22,6.39,4.81,2.19,92.89,0,6
1080,Sanjay Sharma,ENG,EL,3.0,25.62,4.17,3.39,11.31,80.34,0,2
1005,Priya Singh,HR,CO,8.0,11.13,1.89,0.8,6.68,79.77,0,8
1099,Deepa Gupta,ENG,CL,7.0,27.04,11.54,2.33,17.58,75.1,1,11
1106,Sanjay Patel,HR,CL,7.0,9.02,9.82,4.16,10.15,75.13,0,5
1012,Sanjay Gupta,ENG,EL,9.0,20.8,3.12,3.17,10.8,90.6,1,11
1069,Vikram Sharma,HR,CL,7.0,18.53,11.56,1.71,12.65,93.64,0,3
1021,Arjun Verma,OPS,CL,4.0,12.52,8.5,0.34,11.64,81.92,0,4
1119,Arjun Singh,SALES,CL,2.0,29.75,8.11,2.23,40.62,75.9,1,11
1032,Arjun Nair,OPS,CO,3.0,11.31,0.01,0.79,9.37,93.89,0,6
1098,Priya Sharma,SALES,CO,7.0,25.65,3.58,4.2,15.46,79.6,0,9
1026,Deepa Singh,FIN,EL,8.0,15.81,11.32,2.1,12.77,82.95,0,3
1130,Priya Nair,OPS,EL,6.0,10.75,2.56,0.16,13.03,82.37,1,11
1014,Meera Gupta,HR,CO,8.0,8.98,2.44,0.46,3.07,84.07,1,12
1049,Vikram Gupta,HR,CO,3.0,24.92,3.53,4.56,19.35,78.71,0,4
1014,Meera Gupta,HR,CL,7.0,8.13,8.23,2.15,4.01,84.83,0,9
1062,Anjali Reddy,FIN,CL,5.0,11.72,9.57,1.55,9.1,75.23,0,6
1017,Vikram Patel,OPS,CL,6.0,12.29,8.34,4.3,15.6,75.79,0,2
1087,Arjun Gupta,OPS,EL,9.0,19.27,0.22,2.41,4.21,81.92,0,9
1096,Arjun Sharma,ENG,EL,1.0,27.06,0.99,4.12,7.16,81.44,0,2
1102,Priya Reddy,SALES,CL,2.0,25.54,0.49,3.35,56.96,58.56,1,10
1072,Arjun Patel,ENG,CO,9.0,22.73,10.45,3.57,16.03,81.79,0,7
1126,Vikram Reddy,OPS,CO,4.0,18.83,7.17,3.92,9.62,75.82,0,7
1105,Rohan Sharma,SALES,CL,6.0,19.83,7.8,2.4,41.72,60.42,1,11
1118,Meera Reddy,HR,CO,3.0,9.04,0.25,3.27,6.65,85.85,0,5
1058,Priya Iyer,HR,CL,3.0,22.01,0.87,0.15,5.15,84.25,0,3
1093,Sanjay Reddy,HR,CO,8.0,15.64,4.15,1.86,19.75,75.8,0,5
1095,Priya Singh,FIN,CL,5.0,14.89,7.27,2.99,15.86,88.1,0,9
1114,Deepa Nair,HR,CL,3.0,20.57,7.58,3.67,2.63,89.32,1,10
1086,Rohan Patel,HR,CL,2.0,9.52,10.25,2.46,4.94,92.41,1,10
1110,Anjali Singh,FIN,CO,9.0,21.57,1.14,3.26,6.24,82.98,0,8
1004,Sanjay Singh,OPS,EL,7.0,16.34,2.83,0.37,3.4,85.4,0,1
1009,Arjun Reddy,ENG,CL,9.0,15.77,2.98,3.09,14.14,78.34,1,12
1027,Deepa Nair,ENG,CO,5.0,13.92,6.4,3.91,14.11,83.93,0,9
1110,Anjali Singh,FIN,CO,4.0,11.74,0.69,2.66,18.73,75.79,0,6
1118,Meera Reddy,HR,CL,5.0,28.35,3.79,2.54,0.83,77.97,0,3
1042,Sanjay Sharma,HR,EL,2.0,29.33,6.96,1.27,10.43,81.85,0,2
1037,Vikram Gupta,OPS,CO,4.0,22.62,2.42,3.37,19.4,76.88,0,4
1007,Meera Reddy,ENG,EL,6.0,11.38,7.94,4.89,7.49,75.35,0,6
1144,Meera Sharma,SALES,CO,8.0,24.21,1.36,3.98,57.19,64.61,1,10
1047,Sanjay Reddy,HR,EL,2.0,29.99,0.58,4.89,8.14,92.42,0,5
1072,Arjun Patel,ENG,EL,9.0,7.73,7.81,3.83,18.51,83.76,0,5
1081,Deepa Reddy,OPS,CO,3.0,26.72,4.51,1.48,12.98,81.57,0,9
1064,Anjali Nair,HR,CL,7.0,19.09,4.57,2.74,11.93,85.91,1,12
1034,Rohan Iyer,ENG,CL,3.0,9.21,7.71,3.8,10.01,85.85,1,12
1071,Arjun Nair,OPS,CL,5.0,25.34,1.31,0.74,10.53,79.92,0,2
1014,Meera Gupta,HR,CO,6.0,23.67,8.59,2.61,16.45,83.62,1,11
1079,Arjun Singh,SALES,CO,9.0,21.37,4.56,0.99,9.58,78.89,0,5
1077,Anjali Gupta,ENG,EL,4.0,21.75,11.16,2.66,11.62,76.79,0,4
1145,Sanjay Nair,OPS,EL,4.0,25.58,6.27,0.62,17.19,91.0,0,2
1070,Rohan Nair,HR,EL,8.0,29.07,5.8,4.03,11.0,75.87,0,8
1105,Rohan Sharma,SALES,EL,7.0,20.95,6.18,2.97,39.37,72.52,1,11
1071,Arjun Nair,OPS,EL,5.0,12.55,8.78,4.26,13.43,91.19,0,8
1146,Deepa Gupta,ENG,CL,1.0,15.6,1.84,1.18,17.39,84.46,0,4
1148,Meera Iyer,FIN,CL,5.0,21.05,7.29,2.73,4.64,82.82,0,1
1001,Rohan Patel,OPS,CO,5.0,21.9,5.31,2.23,14.49,75.32,0,3
1023,Rohan Reddy,FIN,CL,3.0,20.08,4.05,4.53,15.45,80.3,1,12
1096,Arjun Sharma,ENG,CO,9.0,13.08,2.72,1.77,1.39,85.38,0,4
1129,Meera Sharma,FIN,EL,5.0,11.78,7.11,3.4,4.62,84.14,1,12
1085,Meera Nair,FIN,CL,7.0,14.46,4.36,4.98,8.93,81.67,0,6
1149,Deepa Gupta,SALES,CL,4.0,29.04,7.62,3.77,31.86,60.86,1,12
1011,Arjun Sharma,HR,CO,7.0,14.98,1.83,4.96,18.54,85.8,0,1
1120,Meera Reddy,HR,CL,6.0,7.23,9.06,0.64,16.52,90.64,0,5
1141,Meera Gupta,ENG,EL,7.0,11.58,4.32,0.44,18.74,86.08,0,4
1074,Anjali Singh,SALES,CL,7.0,28.56,10.48,0.81,15.73,86.49,0,3
1059,Sanjay Nair,FIN,CL,1.0,7.91,9.81,1.9,17.56,92.36,0,5
1133,Meera Iyer,SALES,CO,4.0,25.47,3.87,0.11,3.08,79.47,0,3
1019,Priya Sharma,FIN,CL,9.0,19.38,5.75,1.57,12.13,77.78,0,2
1079,Arjun Singh,SALES,CL,4.0,17.56,4.78,0.73,7.35,76.36,0,6
1024,Vikram Singh,HR,EL,4.0,15.99,1.27,3.2,4.32,87.39,0,4
1059,Sanjay Nair,FIN,CO,3.0,19.11,2.3,1.06,9.69,90.09,0,7
1055,Priya Iyer,FIN,CO,3.0,9.27,0.9,3.91,5.31,78.56,0,9
1143,Deepa Verma,SALES,EL,4.0,20.83,2.75,1.16,37.53,55.75,1,12
1062,Anjali Reddy,FIN,CO,3.0,14.19,4.97,4.14,14.67,90.39,0,5
1129,Meera Sharma,FIN,EL,6.0,24.76,6.99,3.4,3.79,87.38,1,11
1012,Sanjay Gupta,ENG,CL,2.0,20.73,2.39,0.32,0.85,82.43,0,5
1138,Meera Patel,ENG,CO,5.0,17.21,1.8,1.62,14.75,84.52,0,5
1041,Sanjay Sharma,HR,CL,1.0,28.88,9.44,1.58,13.76,83.75,0,5
1028,Priya Nair,OPS,CL,2.0,5.96,10.82,2.31,12.74,88.19,0,1
1078,Sanjay Sharma,OPS,CO,8.0,27.06,1.27,4.94,8.87,75.96,0,1
1086,Rohan Patel,HR,EL,3.0,6.78,0.15,4.78,14.75,82.07,1,11
1109,Arjun Singh,FIN,CO,4.0,24.37,7.94,0.93,3.48,76.97,0,4
1093,Sanjay Reddy,HR,CL,6.0,7.07,6.18,4.49,15.65,79.56,0,6
1072,Arjun Patel,ENG,CO,2.0,5.26,3.06,1.3,1.39,94.2,0,2
1118,Meera Reddy,HR,CL,5.0,8.13,5.69,0.57,9.72,93.41,0,2
1143,Deepa Verma,SALES,CL,1.0,28.2,2.7,1.86,40.9,59.64,1,12
1031,Anjali Reddy,FIN,CL,1.0,21.15,3.43,4.08,17.23,91.93,0,3
1017,Vikram Patel,OPS,EL,5.0,29.46,8.98,2.79,3.61,76.08,0,5
1085,Meera Nair,FIN,CO,9.0,28.43,0.52,0.82,2.63,89.52,0,6
1026,Deepa Singh,FIN,CO,3.0,8.77,4.11,2.07,15.16,89.87,0,2
1002,Vikram Gupta,ENG,CO,7.0,22.22,10.48,3.18,15.22,78.2,0,6
1105,Rohan Sharma,SALES,EL,5.0,27.04,3.33,0.97,43.81,67.02,1,10
1045,Meera Reddy,ENG,CO,2.0,13.88,9.41,2.77,0.1,90.22,0,7
1053,Deepa Reddy,OPS,EL,9.0,28.95,4.42,1.63,2.98,81.11,1,12
1055,Priya Iyer,FIN,EL,4.0,14.63,7.72,3.9,4.34,77.76,0,3
1053,Deepa Reddy,OPS,CO,5.0,5.73,2.0,0.91,7.75,83.05,0,8
1070,Rohan Nair,HR,EL,3.0,6.62,6.96,2.81,11.21,87.07,0,4
1081,Deepa Reddy,OPS,CO,3.0,17.46,0.92,0.29,6.68,90.7,0,3
1116,Priya Sharma,FIN,CO,4.0,8.06,8.83,1.18,7.43,76.25,0,4
1046,Arjun Singh,OPS,EL,6.0,21.06,5.05,3.18,15.71,77.37,1,11
1046,Arjun Singh,OPS,CO,7.0,19.3,7.05,0.92,7.24,81.69,1,12
1106,Sanjay Patel,HR,CL,6.0,11.83,6.22,1.49,18.81,80.19,0,1
1045,Meera Reddy,ENG,CO,5.0,26.05,2.23,4.01,9.16,84.66,1,10
1069,Vikram Sharma,HR,CL,7.0,27.6,10.91,3.9,0.14,76.15,1,10
1059,Sanjay Nair,FIN,EL,4.0,21.42,11.48,0.34,1.14,80.64,1,12
1134,Anjali Iyer,HR,CO,8.0,29.37,4.45,2.14,16.9,80.36,0,3
1072,Arjun Patel,ENG,CO,4.0,20.49,6.74,1.73,6.3,90.44,0,4
1069,Vikram Sharma,HR,CO,4.0,8.2,10.59,1.97,16.56,90.75,0,2
1141,Meera Gupta,ENG,EL,5.0,11.41,7.85,0.99,11.31,84.28,0,9
1088,Priya Verma,HR,EL,9.0,5.55,8.64,2.09,1.78,88.68,0,5
1032,Arjun Nair,OPS,EL,2.0,15.1,6.51,3.96,10.98,87.26,0,1
1097,Meera Sharma,HR,CL,5.0,8.52,7.97,1.08,1.95,92.24,0,1
1124,Anjali Sharma,FIN,CL,8.0,24.67,1.34,1.78,19.56,90.88,0,7
1048,Sanjay Sharma,HR,EL,4.0,18.62,9.1,3.77,0.36,77.53,0,7
1078,Sanjay Sharma,OPS,CL,9.0,19.0,9.01,2.79,11.05,76.88,0,6
1130,Priya Nair,OPS,EL,4.0,24.96,4.46,2.26,7.95,76.87,0,8
1050,Arjun Iyer,ENG,CL,8.0,12.18,9.51,2.89,12.69,90.96,1,11
1046,Arjun Singh,OPS,CL,4.0,18.95,1.99,3.07,7.26,92.94,0,8
1106,Sanjay Patel,HR,CL,1.0,19.95,0.4,1.82,14.65,91.41,0,8
1100,Sanjay Gupta,FIN,CL,6.0,29.19,10.28,0.59,14.79,81.39,0,4
1128,Sanjay Singh,SALES,EL,5.0,23.13,3.88,4.99,19.6,88.12,0,7
1127,Meera Patel,FIN,EL,9.0,7.33,0.35,4.11,4.2,82.58,1,11
1008,Meera Reddy,OPS,CL,2.0,7.77,9.11,4.94,18.03,88.03,0,4
1130,Priya Nair,OPS,CL,5.0,7.82,1.05,3.6,8.4,93.11,1,12
1050,Arjun Iyer,ENG,CL,9.0,15.89,6.93,3.69,16.12,91.87,0,2
1090,Arjun Reddy,HR,EL,4.0,23.48,1.28,1.57,0.08,88.63,0,3
1147,Sanjay Verma,SALES,EL,8.0,6.82,0.92,1.7,44.54,68.28,1,12
1056,Anjali Iyer,OPS,EL,4.0,28.46,10.45,3.83,15.77,88.3,0,5
1114,Deepa Nair,HR,CL,7.0,9.23,4.68,1.9,4.53,82.63,0,1
1034,Rohan Iyer,ENG,CL,4.0,5.45,5.06,0.14,19.32,77.55,0,3
1082,Meera Sharma,SALES,CO,3.0,25.12,0.22,4.81,14.53,81.1,0,3
1118,Meera Reddy,HR,CO,4.0,7.81,8.44,2.7,1.93,79.84,0,9
1063,Priya Reddy,FIN,EL,5.0,12.43,3.6,3.72,0.96,93.06,0,1
1007,Meera Reddy,ENG,EL,6.0,27.31,2.22,0.39,4.79,90.89,0,2
1011,Arjun Sharma,HR,CO,2.0,19.33,7.91,1.26,4.4,84.77,0,3
1136,Rohan Iyer,OPS,CO,1.0,6.62,11.47,0.13,13.89,76.64,0,4
1075,Priya Sharma,SALES,CO,4.0,16.08,7.29,3.16,11.83,89.05,0,9
1131,Anjali Iyer,HR,CO,4.0,14.61,5.85,3.26,19.01,87.01,0,7
1104,Vikram Iyer,HR,CO,6.0,6.77,3.05,1.81,9.45,75.91,0,1
1135,Priya Sharma,FIN,CL,1.0,16.26,5.68,3.11,9.39,83.95,0,3
1083,Sanjay Nair,ENG,EL,6.0,26.35,0.59,4.17,16.88,80.7,0,8
1038,Arjun Sharma,SALES,EL,1.0,10.46,4.76,0.22,5.56,91.33,0,5
1048,Sanjay Sharma,HR,EL,8.0,18.29,10.56,2.87,0.59,88.51,0,9
1146,Deepa Gupta,ENG,EL,1.0,14.75,8.76,4.41,13.42,80.16,1,11
1044,Arjun Reddy,SALES,CO,5.0,5.04,7.64,0.26,37.23,55.89,1,10
1067,Arjun Sharma,HR,CO,4.0,14.23,1.45,2.09,15.02,76.42,0,1
1121,Sanjay Nair,OPS,CO,9.0,28.54,8.02,3.39,7.24,86.87,0,3
1009,Arjun Reddy,ENG,CO,6.0,7.89,1.85,0.86,12.76,89.82,0,2
1092,Sanjay Reddy,FIN,CO,8.0,25.5,8.34,2.66,8.98,76.69,0,6
1100,Sanjay Gupta,FIN,CL,1.0,10.4,5.6,4.08,1.35,82.75,0,5
1106,Sanjay Patel,HR,CO,7.0,18.56,10.34,2.95,4.53,82.68,0,2
1078,Sanjay Sharma,OPS,CO,7.0,12.97,6.99,1.86,12.02,89.11,0,9
1033,Meera Iyer,ENG,EL,7.0,8.56,10.68,1.73,3.09,75.51,0,8
1145,Sanjay Nair,OPS,CO,1.0,7.53,10.17,2.66,16.83,86.6,1,12
1064,Anjali Nair,HR,EL,2.0,17.14,0.33,2.53,19.28,82.68,0,4
1106,Sanjay Patel,HR,CL,3.0,5.58,9.07,2.29,5.78,93.0,1,11
1124,Anjali Sharma,FIN,CL,5.0,16.85,5.33,4.97,10.91,76.76,0,5
1058,Priya Iyer,HR,EL,6.0,18.54,1.85,2.77,10.83,90.24,0,4
1122,Sanjay Nair,HR,CO,3.0,12.56,3.11,0.97,1.15,81.85,0,7
1020,Anjali Verma,ENG,CO,7.0,18.62,1.98,2.91,19.99,78.01,1,12
1097,Meera Sharma,HR,CO,1.0,23.36,3.61,1.63,15.85,84.23,1,11
1084,Vikram Reddy,ENG,EL,1.0,22.77,10.88,0.66,11.86,86.98,0,8
1053,Deepa Reddy,OPS,CL,5.0,23.65,6.59,0.29,13.62,84.34,1,12
1011,Arjun Sharma,HR,EL,3.0,16.57,11.77,2.42,17.27,86.77,0,6
1101,Meera Verma,SALES,EL,8.0,16.03,7.27,4.59,45.13,72.67,1,11
1091,Anjali Singh,OPS,CO,4.0,25.16,5.72,4.98,1.19,75.06,0,3
1080,Sanjay Sharma,ENG,EL,8.0,6.56,10.6,2.24,10.21,87.53,0,1
1030,Priya Verma,ENG,CL,6.0,22.19,8.67,3.46,2.69,80.99,0,7
1034,Rohan Iyer,ENG,CL,9.0,24.83,11.89,1.0,19.89,76.8,0,8
1029,Rohan Verma,ENG,CO,1.0,13.54,7.59,0.35,0.11,93.74,0,7
1127,Meera Patel,FIN,CO,1.0,26.15,7.36,0.44,9.75,76.55,0,9
1127,Meera Patel,FIN,CL,6.0,12.65,6.59,3.16,11.54,88.96,0,4
1044,Arjun Reddy,SALES,CO,6.0,12.49,0.92,2.5,15.89,89.14,0,3
1065,Meera Verma,FIN,CL,8.0,12.38,2.79,1.41,16.07,93.58,0,2
1125,Rohan Singh,SALES,CO,6.0,13.04,5.72,1.13,12.81,94.58,0,7
1020,Anjali Verma,ENG,EL,3.0,21.2,1.48,4.44,10.06,83.99,0,3
1009,Arjun Reddy,ENG,CL,4.0,20.93,6.32,2.32,4.69,81.06,0,4
1078,Sanjay Sharma,OPS,CL,4.0,8.57,9.3,1.36,9.93,80.69,0,6
1081,Deepa Reddy,OPS,CL,9.0,23.72,3.81,0.0,10.22,75.94,0,8
1095,Priya Singh,FIN,CL,1.0,6.57,10.07,0.02,4.94,89.82,0,6
1138,Meera Patel,ENG,EL,3.0,19.12,10.4,2.86,18.14,93.86,0,9
1082,Meera Sharma,SALES,CL,8.0,29.1,1.07,3.44,9.88,82.75,0,1
1119,Arjun Singh,SALES,CL,7.0,11.36,10.51,0.91,5.57,77.59,0,7
1024,Vikram Singh,HR,EL,4.0,24.55,7.73,0.24,7.2,94.14,0,9
1027,Deepa Nair,ENG,CO,2.0,20.86,9.25,0.01,17.18,78.72,0,9
1140,Sanjay Singh,ENG,CO,2.0,10.3,7.89,2.36,17.6,79.31,0,4
1108,Meera Reddy,HR,EL,2.0,14.87,11.17,0.63,14.74,94.49,0,7
1148,Meera Iyer,FIN,CL,6.0,19.48,1.02,0.22,13.34,91.47,1,12
1053,Deepa Reddy,OPS,EL,5.0,22.2,2.9,4.56,16.77,89.19,1,10
1141,Meera Gupta,ENG,CO,9.0,23.41,3.96,4.53,5.33,89.5,1,10
1121,Sanjay Nair,OPS,CL,6.0,24.06,5.46,1.34,4.4,77.63,1,12
1026,Deepa Singh,FIN,EL,9.0,8.01,3.19,0.09,5.87,90.46,0,6
1006,Anjali Iyer,ENG,EL,5.0,21.16,11.69,4.24,0.47,92.97,0,4
1044,Arjun Reddy,SALES,CO,4.0,27.49,8.52,4.69,12.07,84.47,0,6
